blue - 青
red - 赤
bright - 明るい
autumn - 秋
to open - 開く
morning - 朝
breakfast - 朝御飯
foot - 足
to play - 遊ぶ
warm/mild - 暖かい、温かい
head - 頭
new - 新しい
hot (weather) - 暑い
heat, hot (thing) - 熱い
thick; deep; heavy - 厚い
older brother - 兄
older sister - 姉
dangerous - 危ない
generous/sweet - 甘い 
rain - 雨
candy - 飴
to wash - 洗う
to walk - 歩く
house - 家
pond - 池
medical doctor - 医者
chair - 椅子
busy - 忙しい
painful - 痛い
togther - 一緒
dog - 犬
meaning - 意味
young sister - 妹
diasagreeable - 嫌
exist - 居る
to need - 要る
color - 色
behind - 後ろ
thin/weak - 薄い
song - 歌
sea/beach - 海
to sell - 売る
coat/jacket - 上着
picture/drawing - 絵
